merchant_key,account_id,is_default,effective_from,effective_to
nola_eatery_and_social_house,acct_381b1169a4,True,,
noodles_etc,acct_381b1169a4,True,,
notion,acct_c3a4c4211d,True,,
now_or_never_coffee,acct_3bd559647b,True,,
nuts_on_clark,acct_381b1169a4,True,,
nw1_dental_care,acct_3e9d1f4b2a,True,,
nyc_taxi,acct_bbf64ddba4,True,,
o_hare_parking,acct_c30ad64cd5,True,,
o_leary_s_public_house,acct_252a9dfee6,True,,
old_coffee_house,acct_3bd559647b,True,,
olympus_hills_bowling_lanes,acct_381b1169a4,True,,
openai,acct_5fac83b5f6,True,,
openmove,acct_d53dc228ca,True,,
original_roma_pizza,acct_381b1169a4,True,,
oseyo,acct_381b1169a4,True,,
ova,acct_93cc197271,True,,
p_bar_2,acct_252a9dfee6,True,,
p_bar_3,acct_252a9dfee6,True,,
paddle,acct_197774d3f8,True,,
palm_restaurant_jfk,acct_70da8b7940,True,,
parkchicago,acct_c30ad64cd5,True,,
parking_meter,acct_c30ad64cd5,True,,
parkwhiz,acct_c30ad64cd5,True,,
paulie_gees_logan_s,acct_381b1169a4,True,,
pdl_barbershop,acct_f183bb01ee,True,,
pdl_coffee_co,acct_3bd559647b,True,,
peet_s_coffee,acct_3bd559647b,True,,
pera_soho,acct_381b1169a4,True,,
pga,acct_574bb68ff7,True,,
phebe_s_tavern,acct_381b1169a4,True,,
philippe_conticini,acct_381b1169a4,True,,
phoenicia_mediterranean,acct_381b1169a4,True,,
pianos,acct_381b1169a4,True,,
pickl_catering,acct_381b1169a4,True,,
picnic_square,acct_381b1169a4,True,,
plp_events,acct_574bb68ff7,True,,
pressure_smoke_and_vape,acct_5ba3d639db,True,,
pret_a_manger,acct_3bd559647b,True,,
primark,acct_d5812e3876,True,,
prime_video,acct_1d4e8d81e0,True,,
printwithme,acct_30ce44b684,True,,
prohibition_barber_co,acct_f183bb01ee,True,,
proxi,acct_381b1169a4,True,,
publican_ord,acct_70da8b7940,True,,
publik_coffee_avenue,acct_3bd559647b,True,,
publik_coffee_west_t,acct_3bd559647b,True,,
pure_dental_spa,acct_3e9d1f4b2a,True,,
pylos,acct_381b1169a4,True,,
rawhide,acct_381b1169a4,True,,
red_door_saloon,acct_381b1169a4,True,,
red_rock_brewing,acct_252a9dfee6,True,,
render,acct_00cb1c8923,True,,
renee_malls_ltd,acct_381b1169a4,True,,
restaurants_misc,acct_381b1169a4,True,,
rifugio_nuvolau,acct_381b1169a4,True,,
rintintin,acct_381b1169a4,True,,
rocca,acct_381b1169a4,True,,
rocky_sporting_club,acct_252a9dfee6,True,,
roros_co_limited,acct_381b1169a4,True,,
route_66_smokehouse,acct_381b1169a4,True,,
ryman,acct_5ba3d639db,True,,
sa_ten_coffee_eats,acct_3bd559647b,True,,
sainsbury_s,acct_a0f371c808,True,,
salem_express_limo,acct_bbf64ddba4,True,,
salt_lake_roasting_co,acct_3bd559647b,True,,
sazerac_phx,acct_381b1169a4,True,,
sedona_pizza_company,acct_381b1169a4,True,,
send_coffee,acct_3bd559647b,True,,
seoul_taco,acct_381b1169a4,True,,
seth_thai,acct_381b1169a4,True,,
shakespeare_s_head,acct_381b1169a4,True,,
shoreditch,acct_381b1169a4,True,,
shotshak,acct_381b1169a4,True,,
sifr_660_n_orleans,acct_381b1169a4,True,,
simply_fresh,acct_a0f371c808,True,,
skullfade_barbers,acct_f183bb01ee,True,,
slc_parking,acct_c30ad64cd5,True,,
slim_jim_s_liquor_store,acct_a0f371c808,True,,
smith_s_marketplace,acct_a0f371c808,True,,
smithfield_hall,acct_381b1169a4,True,,
smoke_post,acct_5ba3d639db,True,,
smyth_the_loyalist,acct_381b1169a4,True,,
sock_city,acct_d5812e3876,True,,
sofitel_new_york,acct_baba137819,True,,
spanish_court_hotel,acct_baba137819,True,,
sports_and_diver_club,acct_252a9dfee6,True,,
spothero,acct_c30ad64cd5,True,,
spotify,acct_1d4e8d81e0,True,,
spuntino,acct_381b1169a4,True,,
ssp_nederland,acct_70da8b7940,True,,
ssp_uk,acct_70da8b7940,True,,
stage_door_deli,acct_381b1169a4,True,,
stagecoach_citylink,acct_d53dc228ca,True,,
starbucks,acct_3bd559647b,True,,
steam,acct_1d4e8d81e0,True,,
stickk,acct_c3a4c4211d,True,,
strawberry_hill,acct_381b1169a4,True,,
summit_retail,acct_e61560f024,True,,
super_kilimanjaro_entertainment,acct_381b1169a4,True,,
susie_s_fine_baked_goods,acct_381b1169a4,True,,
sweetgreen,acct_381b1169a4,True,,
tac_bar_jamaica,acct_252a9dfee6,True,,
tacombi_fulton_mar,acct_381b1169a4,True,,
table_donkey_and_st,acct_381b1169a4,True,,
target,acct_5ba3d639db,True,,
taverna_the_domain,acct_381b1169a4,True,,
tavily,acct_5fac83b5f6,True,,
tech_social,acct_381b1169a4,True,,
terra_sol_hospitality,acct_381b1169a4,True,,
tesco,acct_a0f371c808,True,,
texaco,acct_3b29f8c5aa,True,,
tfl,acct_d53dc228ca,True,,
tgi_friday_s,acct_381b1169a4,True,,
thai_street_food,acct_381b1169a4,True,,
thames_water,acct_7d15f960d5,True,,
the_abbey_resort,acct_baba137819,True,,
the_berkshire_room,acct_381b1169a4,True,,
the_black_penny,acct_381b1169a4,True,,
the_bellevue,acct_381b1169a4,True,,
the_bull,acct_381b1169a4,True,,
the_butchers_daught,acct_381b1169a4,True,,
the_case_centre,acct_85647ee8cc,True,,
the_drake_restaurant,acct_381b1169a4,True,,
the_duck_hook,acct_381b1169a4,True,,
the_dutch,acct_381b1169a4,True,,
the_east_pole,acct_381b1169a4,True,,
the_enterprise,acct_381b1169a4,True,,
the_fig_tree_chicago,acct_381b1169a4,True,,
the_gage,acct_381b1169a4,True,,
the_gallivan_center,acct_381b1169a4,True,,
the_hampton_social,acct_252a9dfee6,True,,
the_jackalope,acct_381b1169a4,True,,
the_kerryman_chicago,acct_252a9dfee6,True,,
the_mart_tots_llc_m,acct_381b1169a4,True,,
the_monarch_new,acct_252a9dfee6,True,,
the_palomar,acct_381b1169a4,True,,
the_porcupine,acct_381b1169a4,True,,
the_river_cafe,acct_381b1169a4,True,,
the_row_kitchen_pu,acct_381b1169a4,True,,
the_salisbury,acct_381b1169a4,True,,
the_shops_at_north_bridge_garage,acct_c30ad64cd5,True,,
the_souvlaki_greek_grill,acct_381b1169a4,True,,
things_remembered_ng,acct_381b1169a4,True,,
time_out_market_chicago,acct_381b1169a4,True,,
tiny_tapp_and_cafe,acct_252a9dfee6,True,,
tip_jar,acct_381b1169a4,True,,
tm7_jonny_s_pizza,acct_381b1169a4,True,,
toad_hall,acct_381b1169a4,True,,
total_energies,acct_3b29f8c5aa,True,,
totes_isotoner,acct_d5812e3876,True,,
toyota_of_lincoln_park,acct_223b76f31e,True,,
trademark_hotel,acct_baba137819,True,,
trg_holdings,acct_381b1169a4,True,,
trivoli_tavern,acct_252a9dfee6,True,,
tunde_otukoya_sumup,acct_381b1169a4,True,,
twitter_paid,acct_0aedc981ef,True,,
two_grapes,acct_381b1169a4,True,,
uber,acct_bbf64ddba4,True,,
uber_eats,acct_74be5aaa27,True,,
uber_one,acct_0aedc981ef,True,,
uc_hub,acct_381b1169a4,True,,
uchicago_gifts,acct_a08245e3ee,True,,
uchicago_medicine,acct_36ad151cfb,True,,
uchicago_student_centers_pub,acct_252a9dfee6,True,,
uchicago_wolfgang_puck,acct_381b1169a4,True,,
udderlicious_sumup,acct_381b1169a4,True,,
uinta_brewing,acct_252a9dfee6,True,,
uncorked_2017,acct_381b1169a4,True,,
united_airlines,acct_1d9ae90683,True,,
unseen_nairobi,acct_381b1169a4,True,,
urban_pine_eatery,acct_381b1169a4,True,,
v_and_p_fox_locksmiths,acct_5ba3d639db,True,,
ventra,acct_d53dc228ca,True,,
venture_crawl_afterparty,acct_381b1169a4,True,,
verizon_wireless,acct_b89f7543f6,True,,
vinegar_yard,acct_381b1169a4,True,,
vodafone_top_up,acct_b89f7543f6,True,,
waitrose,acct_a0f371c808,True,,
walgreens,acct_2382d702bc,True,,
warlord,acct_381b1169a4,True,,
wasatch_brew_pub,acct_252a9dfee6,True,,
waterloo_tap,acct_252a9dfee6,True,,
wayfair,acct_5ba3d639db,True,,
weekday,acct_d5812e3876,True,,
west_loop_cleaners,acct_fc40ca2b29,True,,
west_loop_market,acct_a0f371c808,True,,
west_loop_pic,acct_381b1169a4,True,,
whiskey_river,acct_252a9dfee6,True,,
whiskey_street,acct_252a9dfee6,True,,
white_horse,acct_381b1169a4,True,,
white_horse_spirits,acct_a0f371c808,True,,
white_rabbit_ventures,acct_381b1169a4,True,,
whole_foods,acct_a0f371c808,True,,
whsmith_heathrow_t3,acct_70da8b7940,True,,
wifi_onboard,acct_70da8b7940,True,,
wildcraft_kitchen,acct_381b1169a4,True,,
williamsburg_hitw,acct_381b1169a4,True,,
wired_co,acct_3bd559647b,True,,
wolfgang_puck,acct_381b1169a4,True,,
world_s_end_finsbury,acct_381b1169a4,True,,
worthwild,acct_381b1169a4,True,,
xai,acct_5fac83b5f6,True,,
xs_bar,acct_252a9dfee6,True,,
yardi,acct_329a7781bd,True,,
zaro_s_bakery,acct_3bd559647b,True,,
zaza_smoke_shop,acct_5ba3d639db,True,,
zenbusiness,acct_197774d3f8,True,,
zona_cocina,acct_381b1169a4,True,,
zucker_s_bagels,acct_3bd559647b,True,,
zuma,acct_381b1169a4,True,,
double_chicken_pleas,acct_252a9dfee6,True,,
lefty_s_brick_bar,acct_252a9dfee6,True,,
bootleggers_inn,acct_252a9dfee6,True,,
lizzie_mcneill_s,acct_252a9dfee6,True,,
gourmandise_the_ba,acct_3bd559647b,True,,
chicago_staypineap,acct_381b1169a4,True,,
international_bar,acct_252a9dfee6,True,,
merchant_key,account_id,is_default,effective_from,effective_to
hoexters,acct_381b1169a4,True,,
rabanitos,acct_381b1169a4,True,,
foxy_johns,acct_381b1169a4,True,,
bloom_plant_based,acct_381b1169a4,True,,
city_winery,acct_381b1169a4,True,,
sifr,acct_381b1169a4,True,,
tacombi_fulton_market,acct_381b1169a4,True,,
lizzie_mcneills,acct_381b1169a4,True,,
leftys_brick_bar,acct_381b1169a4,True,,
all_star_seafood,acct_381b1169a4,True,,
moonshine_patio,acct_381b1169a4,True,,
harry_carays_navy_pier,acct_381b1169a4,True,,
punch_house_tack_room,acct_381b1169a4,True,,
los_tacos_no_1,acct_381b1169a4,True,,
emerald_loop,acct_381b1169a4,True,,
haymarket_pub_brew,acct_381b1169a4,True,,
gangnam_market,acct_381b1169a4,True,,
philly_special,acct_381b1169a4,True,,
duffys_tavern,acct_381b1169a4,True,,
jenis_splendid_ice_cream,acct_381b1169a4,True,,
tm7_jonnys_pizza,acct_381b1169a4,True,,
stans_donuts,acct_381b1169a4,True,,
zuckers_bagels,acct_381b1169a4,True,,
sunny_bowls,acct_381b1169a4,True,,
matchacita,acct_381b1169a4,True,,
bombay_wraps,acct_381b1169a4,True,,
the_mart_tots,acct_381b1169a4,True,,
rpm_steak,acct_381b1169a4,True,,
black_barrel_tavern,acct_252a9dfee6,True,,
galit,acct_381b1169a4,True,,
hogsalt_bavettes,acct_381b1169a4,True,,
aris,acct_381b1169a4,True,,
cruz_blanca,acct_381b1169a4,True,,
boeufhaus,acct_381b1169a4,True,,
grotta_di_fuoco,acct_381b1169a4,True,,
mokyo,acct_381b1169a4,True,,
boqueria_chicago,acct_381b1169a4,True,,
bar_siena,acct_252a9dfee6,True,,
cruz_blanca,acct_381b1169a4,True,,
etta,acct_381b1169a4,True,,
mariscos_san_pedro,acct_381b1169a4,True,,
avec_west_loop,acct_381b1169a4,True,,
gaijin,acct_381b1169a4,True,,
attaboy,acct_252a9dfee6,True,,
leye_beatrix_wacke,acct_381b1169a4,True,,
maxwells_trading,acct_381b1169a4,True,,
beautiful_rind,acct_381b1169a4,True,,
chicago_winery,acct_381b1169a4,True,,
electric_hotel,acct_baba137819,True,,
black_barrel_tavern,acct_252a9dfee6,True,,
open_range_grill_and,acct_381b1169a4,True,,
preto_angel,acct_381b1169a4,True,,
pubkey_nyc,acct_252a9dfee6,True,,
chicago_brewhouse,acct_252a9dfee6,True,,
la_serre,acct_381b1169a4,True,,
230_fifth,acct_381b1169a4,True,,
bocado,acct_381b1169a4,True,,
gaijin,acct_381b1169a4,True,,
cafe_maud,acct_381b1169a4,True,,
9_muses_bar_grill,acct_381b1169a4,True,,
buvette,acct_381b1169a4,True,,
chirl_roanoke_rest,acct_381b1169a4,True,,
crif_dogs_113_st,acct_381b1169a4,True,,
agave_maria,acct_381b1169a4,True,,
la_josie,acct_381b1169a4,True,,
forno_rosso_pizzeria,acct_381b1169a4,True,,
petes_dueling_piano,acct_252a9dfee6,True,,
odd_sister,acct_381b1169a4,True,,
lawn_club,acct_381b1169a4,True,,
bandit,acct_381b1169a4,True,,
cafe_michelle,acct_381b1169a4,True,,
the_king_s_head,acct_381b1169a4,True,,
via_313_east_side,acct_381b1169a4,True,,
nine_bar,acct_381b1169a4,True,,
texan_taco_bar,acct_252a9dfee6,True,,
solette,acct_381b1169a4,True,,
blue_haven_south,acct_381b1169a4,True,,
bodega_west_loop,acct_381b1169a4,True,,
paradise_park,acct_381b1169a4,True,,
grand_millennium_hotel,acct_baba137819,True,,
hogsalt_small_chev,acct_381b1169a4,True,,
berry_park,acct_381b1169a4,True,,
village_tap_bar,acct_252a9dfee6,True,,
hogsalt_small_chev,acct_381b1169a4,True,,
good_ambler,acct_3bd559647b,True,,
fh_management_drin,acct_381b1169a4,True,,
blenders_and_bowls,acct_381b1169a4,True,,
aloha_poke_merchan,acct_381b1169a4,True,,
medici_gallery_on_57,acct_381b1169a4,True,,
good_ambler,acct_3bd559647b,True,,
